,fips,vaccine_hesitant,vaccine_hesitant_strong,social_vulnerability_index,county_name,state,ethnicity_hispanic,ethnicity_native,ethnicity_asian,ethnicity_black,ethnicity_hawaiian,ethnicity_white,unemployment,rural_urban_code,urban_influence_code,median_income_percent_state,median_income,poverty,education_high_school_less,education_high_school_only,education_degree_some,education_bachelors_degree
0,1131,0.23,0.11,0.93,"Wilcox County, Alabama",ALABAMA,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,0.071,9.0,10.0,0.5987522125,30998.0,0.325,0.235,0.395,0.245,0.125
1,1129,0.23,0.11,0.73,"Washington County, Alabama",ALABAMA,0.0146,0.0731,0.0025,0.2354,0.0,0.6495,0.046,8.0,7.0,0.943848877,48864.0,0.18600000000000003,0.174,0.431,0.26899999999999996,0.127
2,1133,0.22,0.11,0.7,"Winston County, Alabama",ALABAMA,0.0315,0.0034,0.0016,0.0073,0.0005,0.937,0.033,6.0,4.0,0.7886075592,40827.0,0.16699999999999998,0.212,0.382,0.278,0.128
3,1127,0.23,0.11,0.75,"Walker County, Alabama",ALABAMA,0.0249,0.0015,0.0049,0.0617,0.0,0.8895,0.033,1.0,1.0,0.8883544922,45991.0,0.17300000000000001,0.182,0.375,0.33,0.113
4,2013,0.26,0.12,0.58,"Aleutians East Borough, Alaska",ALASKA,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,0.027999999999999997,9.0,12.0,0.8668445587,66923.0,0.14800000000000002,0.145,0.435,0.305,0.115
5,2016,0.26,0.12,0.49,"Aleutians West Census Area, Alaska",ALASKA,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,0.036000000000000004,9.0,11.0,1.097444382,84726.0,0.076,0.105,0.39,0.33399999999999996,0.17
6,1125,0.22,0.1,0.63,"Tuscaloosa County, Alabama",ALABAMA,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155,0.027000000000000003,3.0,2.0,1.010353317,52307.0,0.162,0.11699999999999999,0.299,0.27699999999999997,0.307
7,51199,0.13,0.05,0.2,"York County, Virginia",VIRGINIA,0.0643,0.0021,0.0552,0.1285,0.0023,0.7071,0.027000000000000003,1.0,1.0,1.196989746,91535.0,0.051,0.053,0.18899999999999997,0.287,0.47100000000000003
8,53061,0.11,0.05,0.28,"Snohomish County, Washington",WASHINGTON,0.102,0.0078,0.107,0.0294,0.0051,0.6957,0.03,1.0,1.0,1.132763062,89119.0,0.07,0.077,0.233,0.36200000000000004,0.32799999999999996
9,51051,0.19,0.08,0.68,"Dickenson County, Virginia",VIRGINIA,0.0091,0.0005,0.0012,0.0057,0.0,0.9759,0.049,9.0,8.0,0.4859489059,37161.0,0.242,0.226,0.385,0.281,0.107
10,51063,0.16,0.06,0.11,"Floyd County, Virginia",VIRGINIA,0.0294,0.0046,0.0013,0.0153,0.0,0.9322,0.026000000000000002,3.0,2.0,0.6836186218,52277.0,0.114,0.13,0.35700000000000004,0.293,0.221
11,51073,0.15,0.06,0.04,"Gloucester County, Virginia",VIRGINIA,0.0357,0.0003,0.0074,0.0881,0.0,0.8486,0.026000000000000002,1.0,1.0,0.9378064728,71715.0,0.086,0.10400000000000001,0.324,0.33899999999999997,0.233
12,51171,0.17,0.07,0.36,"Shenandoah County, Virginia",VIRGINIA,0.0722,0.0013,0.0094,0.0178,0.0,0.8761,0.025,6.0,4.0,0.7726719665999999,59087.0,0.10300000000000001,0.13,0.379,0.28600000000000003,0.205
13,53069,0.14,0.07,0.18,"Wahkiakum County, Washington",WASHINGTON,0.0689,0.0073,0.0185,0.0127,0.0002,0.8674,0.067,8.0,4.0,0.7769149017,61123.0,0.10800000000000001,0.079,0.3,0.42700000000000005,0.19399999999999998
14,51141,0.17,0.07,0.64,"Patrick County, Virginia",VIRGINIA,0.0305,0.0006,0.0041,0.0592,0.0,0.8971,0.035,8.0,7.0,0.5697323227,43568.0,0.155,0.198,0.348,0.302,0.152
15,55085,0.17,0.1,0.01,"Oneida County, Wisconsin",WISCONSIN,0.0154,0.013,0.0039,0.0064,0.0004,0.9485,0.043,7.0,9.0,0.9779983521,62765.0,0.08900000000000001,0.069,0.32,0.34,0.272
16,55015,0.16,0.09,0.02,"Calumet County, Wisconsin",WISCONSIN,0.0429,0.0054,0.0241,0.0084,0.0,0.9091,0.027999999999999997,3.0,2.0,1.252068481,80354.0,0.054000000000000006,0.057999999999999996,0.314,0.33299999999999996,0.294
17,55057,0.17,0.1,0.38,"Juneau County, Wisconsin",WISCONSIN,0.0309,0.0111,0.0056,0.0227,0.0002,0.9156,0.033,7.0,9.0,0.869267807,55787.0,0.134,0.11599999999999999,0.415,0.332,0.13699999999999998
18,54069,0.18,0.09,0.31,"Ohio County, West Virginia",WEST VIRGINIA,0.0116,0.0019,0.0071,0.0389,0.0,0.9211,0.045,3.0,2.0,1.035574112,50390.0,0.141,0.065,0.342,0.273,0.32
19,55111,0.17,0.1,0.23,"Sauk County, Wisconsin",WISCONSIN,0.0513,0.0108,0.0061,0.0082,0.0,0.9085,0.028999999999999998,4.0,5.0,0.9933776855,63752.0,0.102,0.091,0.33899999999999997,0.33,0.24100000000000002
20,55141,0.17,0.1,0.15,"Wood County, Wisconsin",WISCONSIN,0.0298,0.0047,0.0204,0.007,0.0002,0.9224,0.038,4.0,5.0,0.8932328033,57325.0,0.107,0.073,0.38,0.33,0.21600000000000003
21,55069,0.17,0.1,0.1,"Lincoln County, Wisconsin",WISCONSIN,0.0158,0.0042,0.0039,0.0072,0.0,0.954,0.037000000000000005,6.0,5.0,0.9462580109,60728.0,0.091,0.08,0.381,0.354,0.184
22,55023,0.18,0.1,0.4,"Crawford County, Wisconsin",WISCONSIN,0.0154,0.0035,0.0054,0.0191,0.0,0.9438,0.043,7.0,9.0,0.8089969634999999,51919.0,0.11599999999999999,0.087,0.397,0.332,0.184
23,56021,0.3,0.16,0.27,"Laramie County, Wyoming",WYOMING,0.1462,0.0078,0.0118,0.0199,0.0011,0.7885,0.035,3.0,2.0,1.052318878,69613.0,0.095,0.07,0.258,0.387,0.285
