fips,county_name,state,division,region,vaccine_hesitant,vaccine_hesitant_strong,vaccine_hesitant_category,social_vulnerability_index,ethnicity_hispanic,ethnicity_native,ethnicity_asian,ethnicity_black,ethnicity_hawaiian,ethnicity_white,population,birth_rate,unemployment,rural_urban_code,urban_influence_code,median_income_percent_state,median_income,poverty,education_high_school_less,education_high_school_only,education_degree_some,education_bachelors_degree,religion_total,religion_evangelical,religion_mainline_protestant,election_democrat_wins,election_republican_wins
1131,"Wilcox County, Alabama",Alabama,East South Central,South,0.23,0.11,Medium,0.93,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,"10,373",0.127,0.071,9.0,10.0,0.5987522125,30998.0,0.325,0.235,0.395,0.245,0.125,610.45,294.9388889,48.67,4,0
1129,"Washington County, Alabama",Alabama,East South Central,South,0.23,0.11,Medium,0.73,0.0146,0.0731,0.0025,0.2354,0.0,0.6495,"16,326",0.10099999999999999,0.046,8.0,7.0,0.943848877,48864.0,0.18600000000000003,0.174,0.431,0.26899999999999996,0.127,584.95,420.3988889,70.64,0,4
1133,"Winston County, Alabama",Alabama,East South Central,South,0.22,0.11,Medium,0.7,0.0315,0.0034,0.0016,0.0073,0.0005,0.937,"23,629",0.10300000000000001,0.033,6.0,4.0,0.7886075592,40827.0,0.16699999999999998,0.212,0.382,0.278,0.128,611.58,551.34,45.61888889,0,4
1127,"Walker County, Alabama",Alabama,East South Central,South,0.23,0.11,Medium,0.75,0.0249,0.0015,0.0049,0.0617,0.0,0.8895,"63,521",0.11800000000000001,0.033,1.0,1.0,0.8883544922,45991.0,0.17300000000000001,0.182,0.375,0.33,0.113,653.5088889,583.6488889,38.07888889,0,4
1125,"Tuscaloosa County, Alabama",Alabama,East South Central,South,0.22,0.1,Medium,0.63,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155,"209,355",0.11599999999999999,0.027000000000000003,3.0,2.0,1.010353317,52307.0,0.162,0.11699999999999999,0.299,0.27699999999999997,0.307,535.8888889,368.87,63.78,0,4
51199,"York County, Virginia",Virginia,South Atlantic Division,South,0.13,0.05,Low,0.2,0.0643,0.0021,0.0552,0.1285,0.0023,0.7071,"68,280",0.087,0.027000000000000003,1.0,1.0,1.196989746,91535.0,0.051,0.053,0.18899999999999997,0.287,0.47100000000000003,379.9488889,186.96,128.62,0,4
53061,"Snohomish County, Washington",Washington,Pacific,West,0.11,0.05,Low,0.28,0.102,0.0078,0.107,0.0294,0.0051,0.6957,"822,083",0.122,0.03,1.0,1.0,1.132763062,89119.0,0.07,0.077,0.233,0.36200000000000004,0.32799999999999996,307.0188889,119.65,30.33888889,4,0
51051,"Dickenson County, Virginia",Virginia,South Atlantic Division,South,0.19,0.08,Medium,0.68,0.0091,0.0005,0.0012,0.0057,0.0,0.9759,"14,318",0.085,0.049,9.0,8.0,0.4859489059,37161.0,0.242,0.226,0.385,0.281,0.107,133.06,107.34,15.84888889,0,4
51063,"Floyd County, Virginia",Virginia,South Atlantic Division,South,0.16,0.06,Medium,0.11,0.0294,0.0046,0.0013,0.0153,0.0,0.9322,"15,749",0.091,0.026000000000000002,3.0,2.0,0.6836186218,52277.0,0.114,0.13,0.35700000000000004,0.293,0.221,356.31,254.5988889,88.03,0,4
51073,"Gloucester County, Virginia",Virginia,South Atlantic Division,South,0.15,0.06,Medium,0.04,0.0357,0.0003,0.0074,0.0881,0.0,0.8486,"37,348",0.091,0.026000000000000002,1.0,1.0,0.9378064728,71715.0,0.086,0.10400000000000001,0.324,0.33899999999999997,0.233,413.1488889,236.83,128.3788889,0,4
